"","alias","CID"
"1","Abalone",9
"2","Abiyuch",9
"3","Acerola",9
"4","Acorn",9
"5","Adzuki bean",9
"6","Agar",9
"7","Agave",9
"8","Alaska wild rhubarb",9
"9","Alfalfa",9
"10","Allium",14
"11","Allspice",10
"12","Almond",5
"13","Alpine sweetvetch",9
"14","Amaranth",9
"15","American butterfish",9
"16","American pokeweed",9
"17","Angelica",9
"18","Anise",10
"19","Anise Brandy",7
"20","Anise Hyssop",14
"21","Annual wild rice",9
"22","Apple",4
"23","Apple Brandy",7
"24","Apple Cider Vinegar",14
"25","Apricot",4
"26","Arabica coffee",14
"27","Arar",14
"28","Armagnac Brandy",7
"29","Arrack",14
"30","Arrowhead",9
"31","Arrowroot",9
"32","Artemisia",9
"33","Artichoke",9
"34","Asafoetida",14
"35","Ashgourd",9
"36","Asparagus",1
"37","Atlantic herring",9
"38","Atlantic salmon",8
"39","Atlantic wolffish",8
"40","Avocado",5
"41","Babaco",14
"42","Babassu palm",9
"43","Bagel",8
"44","Bakery Products",14
"45","Bamboo shoots",9
"46","Banana",4
"47","Bantu Beer",14
"48","Barley",5
"49","Bartlett Pear",14
"50","Basil",11
"51","Basmati Rice",14
"52","Bayberry",9
"53","Beans",1
"54","Bearded seal",8
"55","Beech nut",9
"56","Beef",13
"57","Beef Processed",13
"58","Beer",3
"59","Beetroot",5
"60","Beluga whale",8
"61","Bergamot",14
"62","Berry",14
"63","Berry wine",14
"64","Bilberry",5
"65","Bilberry Wine",6
"66","Biscuit",9
"67","Bison",8
"68","Bitter Cherry",9
"69","Bitter Orange",14
"70","Bittergourd",9
"71","Black-eyed pea",9
"72","Black crowberry",9
"73","Black Currant",11
"74","Black huckleberry",9
"75","Black mulberry",9
"76","Black raspberry",9
"77","Black salsify",9
"78","Black Tea",14
"79","Blackberry",5
"80","Blackberry Brandy",7
"81","Blue Cheese",2
"82","Blueberry",5
"83","Bonito",14
"84","Borage",9
"85","Botrytized Wine",6
"86","Bottlegourd",9
"87","Bourbon Whisky",12
"88","Boysenberry",9
"89","Brandy",7
"90","Brazil Nut",5
"91","Bread",5
"92","Breadfruit",9
"93","Breadnut tree seed",9
"94","Breakfast cereal",9
"95","Breakfast sandwich",8
"96","Broccoli",5
"97","Brussels Sprout",5
"98","Buchu",14
"99","Buckwheat",1
"100","Buffalo currant",9
"101","Burbot",9
"102","Burdock",9
"103","Burrito",8
"104","Butter",13
"105","Buttermilk",8
"106","Butternut",9
"107","Butternut squash",9
"108","Cabbage",5
"109","Cajeput",14
"110","Cake",8
"111","Calamus",14
"112","Camembert Cheese",2
