"","common_name","profile"
"1","X2.3.Dimethylpyrazine","butter, caramel, nut, peanut butter, meat, leather, coffee, cocoa, peanut, nutty, almond, walnut"
"2","X2.5.Dimethylpyrazine","roast beef, roasted nuts, grass, medical, cocoa, woody, medicine, roasted nut, medicinal"
"3","X2.Ethylpyrazine","butter, roasted, peanut butter, bitter, musty, woody, cocoa, peanut, wood, nutty"
"4","X2.Ethyl.3.Methylpyrazine","raw, hazelnut, roast, sweat, potato, bread, musty, earthy, peanut, nutty, corn"
"5","X2.Methylpyrazine","chocolate, roasted, cocoa, peanut, nutty, popcorn, green"
"6","X2.3.5.Trimethylpyrazine","hazelnut, roast, roasted, powdery, potato, must, musty, earthy, cocoa, peanut, nutty"
"7","X1.octanol","burnt, orange, rose, waxy, chemical, metal, aldehydic, mushroom, green"
"8","Phenethyl.acetate","tobacco, rose, floral, sweet, honey, fruity, tropical"
"9","Pentanal","bready, fermented, berry, malt, pungent, fruity, nutty, almond"
"10","Propionaldehyde","solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty"
"11","X1.Phenyl.1.propanol","floral, sweet, balsam"
"12","X2.Methylbutyl.Acetate","overripe fruit, banana, fruit, sweet, peanut, juicy"
"13","dimethyl.sulfide","sulfur, sulfurous, cabbage, onion, gasoline, vegetable, sulfury, sweet corn, tomato, radish, wild, green"
"14","benzaldehyde","strong, sharp, burnt sugar, bitter, sweet, cherry, almond"
"15","X2.Acetylpyridine","tobacco, oily, fatty, heavy, popcorn, corn, chip"
"16","Methyl.tetradecanoate","fatty, orris, waxy, petal"
"17","X2.Methyl.1.propanol","solvent, ether, wine, bitter"
"18","Isobutyl.Acetate","apple, ethereal, banana, bitter, fruit, sweet, fruity, tropical"
"19","Oxirane",""
"20","P.Cymene","solvent, citrus, spice, gasoline, fresh, woody, terpene"
"21","Prenyl.benzoate","chocolate, fruity, balsam, tea, ylang"
"22","D.Fenchone",""
"23","Isoamyl.butyrate","hop_oil, apricot, whiskey, banana, tropica, papaya, melon, fruity, pear, green"
"24","coumarin","new mown hay, bitter, green, sweet, tonka"
"25","Methyl.Benzoate","prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic"
"26","Vanillic.acid","powdery, vanilla, bean, milky, sweet, creamy, dairy"
"27","AC1L9CNW","wood, woody, spice"
"28","X3.Hexanone","ether, waxy, grape, sweet, rum, fruity"
"29","Hexyl.benzoate","fresh, sappy, woody, clean, balsam"
"30","Geraniol","citrus, rose, waxy, floral, sweet, fruity, geranium"
"31","alpha.Maltose","odorless"
